facet;key;num;content;sign
E;Fear;8;I love dangerous situations.;pos(+)
E;Depe;3;I need the approval of others.;pos(+)
X;Expr;3;I am the life of the party.;pos(+)
A;Gent;6;I am quick to judge others.;neg(-)
C;Prud;8;I make careless mistakes.;neg(-)
O;Crea;10;I seldom experience sudden intuitive insights.;pos(+)
E;Sent;1;I feel others' emotions.;pos(+)
O;Crea;2;I come up with something new.;pos(+)
H;Gree;1;I would not enjoy being a famous celebrity.;neg(-)
X;Live;9;I tire out quickly.;neg(-)
E;Fear;7;I face danger confidently.;pos(+)
A;Flex;4;I react strongly to criticism.;neg(-)
X;Soci;10;I keep others at a distance.;neg(-)
X;Soci;6;I seem to derive less enjoyment from interacting with people than others do.;neg(-)
H;Gree;9;I prefer to eat at expensive restaurants.;pos(+)
H;Sinc;7;I pretend to be concerned for others.;neg(-)
E;Anxi;1;I often worry about things that turn out to be unimportant.;pos(+)
E;Fear;5;I would never go riding down a stretch of rapids in a canoe.;neg(-)
A;Pati;4;I rarely get irritated.;pos(+)
C;Perf;8;I demand quality.;pos(+)
C;Perf;10;I prefer to just let things happen.;neg(-)
H;Fair;10;I would not regret my behavior if I were to take advantage of someone impulsively.;pos(+)
O;Inqu;10;I will not probe deeply into a subject.;pos(+)
E;Sent;4;I am sensitive to the needs of others.;pos(+)
X;Expr;8;I say little.;neg(-)
O;Inqu;7;I don't know much about history.;pos(+)
E;Depe;7;I suspect that my facial expressions give me away when I feel sad.;pos(+)
X;SocB;1;I am good at making impromptu speeches.;pos(+)
C;Perf;9;I pay too little attention to details.;neg(-)
C;Prud;5;I do things without thinking of the consequences.;neg(-)
X;Live;1;I maintain high energy throughout the day.;pos(+)
C;Perf;3;I have an eye for detail.;pos(+)
O;Crea;6;I have excellent ideas.;pos(+)
A;Pati;3;I am usually a patient person.;pos(+)
H;Fair;8;I steal things.;neg(-)
E;Depe;1;I need reassurance.;pos(+)
H;Mode;10;I boast about my virtues.;pos(+)
O;AesA;6;I do not like art.;neg(-)
H;Mode;1;I don't think that i'm better than other people.;pos(+)
X;SocB;3;I feel comfortable around people.;pos(+)
A;Pati;5;I seldom get mad.;neg(-)
A;Pati;10;I get upset easily.;neg(-)
X;Soci;2;I talk to a lot of different people at parties.;pos(+)
A;Flex;3;I when interacting with a group of people, am often bothered by at least one of them.;pos(+)
A;Forg;2;I try to forgive and forget.;pos(+)
C;Prud;10;I make a fool of myself.;neg(-)
O;Unco;2;I know that my ideas sometimes surprise people.;pos(+)
A;Forg;7;I get back at people who insult me.;neg(-)
A;Gent;1;I rarely complain.;pos(+)
O;Inqu;6;I have a rich vocabulary.;pos(+)
O;AesA;4;I enjoy feeling close to the earth.;pos(+)
X;Soci;4;I make friends easily.;pos(+)
C;Perf;4;I want every detail taken care of.;pos(+)
A;Forg;1;I love my enemies.;pos(+)
A;Pati;2;I rarely feel angry with people.;pos(+)
X;SocB;5;I have a strong personality.;neg(-)
A;Gent;4;I have a good word for everyone.;pos(+)
X;Expr;4;I tell people about it when i'm irritated.;pos(+)
X;Live;2;I have great stamina.;pos(+)
H;Gree;3;I love luxury.;pos(+)
H;Fair;4;I would feel very badly for a long time if I were to steal from someone.;pos(+)
C;Orga;8;I don't finish the things that I start.;neg(-)
X;SocB;8;I find it difficult to approach others.;neg(-)
X;Soci;1;I usually like to spend my free time with people.;pos(+)
H;Fair;6;I admire a really clever scam.;pos(+)
A;Forg;9;I distrust people.;neg(-)
E;Depe;9;I can't do without the company of others.;pos(+)
E;Sent;10;I seldom get emotional.;neg(-)
O;Inqu;3;I enjoy intellectual games.;pos(+)
H;Gree;6;I am mainly interested in money.;pos(+)
A;Forg;5;I find it hard to forgive others.;pos(+)
C;Prud;9;I don't know why I do some of the things I do.;neg(-)
H;Mode;7;I like to attract attention.;neg(-)
O;Crea;1;I have a vivid imagination.;pos(+)
H;Mode;2;I see myself as an average person.;pos(+)
E;Sent;6;I rarely cry during sad movies.;neg(-)
C;Dili;4;I work hard.;pos(+)
E;Anxi;10;I don't worry about things that have already happened.;neg(-)
H;Gree;7;I wish to stay young forever.;pos(+)
A;Flex;10;I am hard to reason with.;neg(-)
O;Crea;5;I love to think up new ways of doing things.;pos(+)
X;Expr;10;I speak softly.;neg(-)
O;Crea;7;I do not have a good imagination.;neg(-)
X;Live;5;I feel healthy and vibrant most of the time.;pos(+)
O;Crea;8;I have difficulty imagining things.;neg(-)
O;Unco;1;I am considered to be kind of eccentric.;pos(+)
A;Flex;9;I am hard to satisfy.;neg(-)
E;Sent;9;I don't understand people who get emotional.;neg(-)
A;Pati;1;I find that it takes a lot to make me feel angry at someone.;pos(+)
H;Sinc;10;I let people push me around to help them feel important.;neg(-)
O;Inqu;2;I would love to explore strange places.;pos(+)
O;AesA;5;I have read the great literary classics.;pos(+)
E;Depe;10;I want to be liked.;neg(-)
X;Expr;6;I don't talk a lot.;neg(-)
E;Sent;7;I seldom feel weepy while reading the sad part of a story.;pos(+)
C;Dili;7;I stop when work becomes too difficult.;neg(-)
X;Live;4;I smile a lot.;pos(+)
X;SocB;6;I would be afraid to give a speech in public.;neg(-)
H;Gree;5;I seek status.;pos(+)
E;Sent;5;I am deeply moved by others' misfortunes.;pos(+)
A;Flex;6;I am hard to convince.;neg(-)
C;Dili;1;I push myself very hard to succeed.;pos(+)
H;Sinc;5;I switch my loyalties when I feel like it.;neg(-)
A;Flex;1;I adjust easily.;pos(+)
E;Fear;10;I am willing to take risks.;pos(+)
O;AesA;1;I believe in the importance of art.;pos(+)
E;Anxi;7;I rarely feel depressed.;neg(-)
H;Gree;2;I don't strive for elegance in my appearance.;neg(-)
